        x        cos(x/2)^2  (cos(x/2)^2)'
        1.98     0.301061    -0.457717
        1.99     0.296484    -0.455681
        2.00     0.291927    -0.453606
        2.01     0.287391    -0.451475
        2.02     0.282876    -0.449303
        2.03     0.278383    -0.447087
        2.04     0.273913    -0.444826
        2.05     0.269464    -0.442521
        2.06     0.265039    -0.440171
        2.07     0.260637    -0.437778
        2.08     0.256260    -0.435340
        2.09     0.251906    -0.432860
        2.10     0.247578    -0.430335
        2.11     0.243274    -0.427768
        2.12     0.238997    -0.425158
        2.13     0.234745    -0.422506
        2.14     0.230520    -0.419811
        2.15     0.226322    -0.417074
        2.16     0.222151    -0.414296
        2.17     0.218008    -0.411476
        2.18     0.213893    -0.408615
        2.19     0.209807    -0.405713
        2.20     0.205750    -0.402770
        2.21     0.201722    -0.399788
        2.22     0.197725    -0.396765
        2.23     0.193757    -0.393702
        2.24     0.189820    -0.390601
        2.25     0.185914    -0.387460
        2.26     0.182039    -0.384280
        2.27     0.178196    -0.381062
        2.28     0.174386    -0.377806
        2.29     0.170608    -0.374512
        2.30     0.166863    -0.371181
        2.31     0.163151    -0.367812
        2.32     0.159473    -0.364407
        2.33     0.155829    -0.360966
        2.34     0.152219    -0.357488
        2.35     0.148644    -0.353974
        2.36     0.145104    -0.350425
        2.37     0.141600    -0.346841
        2.38     0.138132    -0.343223
        2.39     0.134699    -0.339570
        2.40     0.131304    -0.335883
        2.41     0.127945    -0.332162
        2.42     0.124623    -0.328409
        2.43     0.121339    -0.324622
        2.44     0.118093    -0.320803
        2.45     0.114885    -0.316952
        2.46     0.111715    -0.313069
        2.47     0.108585    -0.309155
        2.48     0.105493    -0.305210
        2.49     0.102441    -0.301234
        2.50     0.099429    -0.297229
        2.51     0.096456    -0.293193
        2.52     0.093525    -0.289129
        2.53     0.090633    -0.285035
        2.54     0.087783    -0.280913
        2.55     0.084974    -0.276763
        2.56     0.082206    -0.272585
        2.57     0.079480    -0.268380
        2.58     0.076797    -0.264148
        2.59     0.074155    -0.259889
        2.60     0.071556    -0.255605
        2.61     0.069000    -0.251295
        2.62     0.066487    -0.246960
        2.63     0.064018    -0.242600
        2.64     0.061592    -0.238216
        2.65     0.059209    -0.233808
        2.66     0.056871    -0.229377
        2.67     0.054578    -0.224923
        2.68     0.052328    -0.220446
        2.69     0.050124    -0.215947
        2.70     0.047964    -0.211427
        2.71     0.045850    -0.206886
        2.72     0.043781    -0.202323
        2.73     0.041758    -0.197741
        2.74     0.039781    -0.193139
        2.75     0.037849    -0.188517
        2.76     0.035964    -0.183877
        2.77     0.034125    -0.179218
        2.78     0.032333    -0.174542
        2.79     0.030588    -0.169848
        2.80     0.028889    -0.165137
        2.81     0.027238    -0.160409
        2.82     0.025634    -0.155665
        2.83     0.024077    -0.150906
        2.84     0.022568    -0.146132
        2.85     0.021107    -0.141343
        2.86     0.019693    -0.136540
        2.87     0.018328    -0.131723
        2.88     0.017011    -0.126894
        2.89     0.015742    -0.122051
        2.90     0.014521    -0.117196
        2.91     0.013349    -0.112330
        2.92     0.012226    -0.107452
        2.93     0.011151    -0.102564
        2.94     0.010126    -0.097665
        2.95     0.009149    -0.092757
        2.96     0.008222    -0.087839
        2.97     0.007343    -0.082912
        2.98     0.006514    -0.077978
        2.99     0.005734    -0.073035
        3.00     0.005004    -0.068085
        3.01     0.004323    -0.063128
        3.02     0.003692    -0.058165
        3.03     0.003110    -0.053196
        3.04     0.002578    -0.048222
        3.05     0.002096    -0.043243
        3.06     0.001664    -0.038260
        3.07     0.001281    -0.033273
        3.08     0.000948    -0.028282
        3.09     0.000665    -0.023289
        3.10     0.000432    -0.018293
        3.11     0.000250    -0.013296
        3.12     0.000117    -0.008297
        3.13     0.000034    -0.003298
        3.14     0.000001     0.001702
        3.15     0.000018     0.006702
        3.16     0.000085     0.011701
        3.17     0.000202     0.016699
        3.18     0.000369     0.021695
        3.19     0.000586     0.026690
        3.20     0.000853     0.031681
        3.21     0.001169     0.036669
        3.22     0.001536     0.041654
        3.23     0.001953     0.046634
        3.24     0.002419     0.051610
        3.25     0.002935     0.056581
        3.26     0.003501     0.061546
        3.27     0.004116     0.066504
        3.28     0.004781     0.071456
        3.29     0.005496     0.076401
        3.30     0.006260     0.081339
        3.31     0.007073     0.086268
        3.32     0.007936     0.091189
        3.33     0.008848     0.096100
        3.34     0.009809     0.101002
        3.35     0.010819     0.105894
        3.36     0.011878     0.110775
        3.37     0.012986     0.115645
        3.38     0.014142     0.120504
        3.39     0.015347     0.125350
        3.40     0.016601     0.130184
        3.41     0.017902     0.135005
        3.42     0.019252     0.139812
        3.43     0.020651     0.144606
        3.44     0.022097     0.149385
        3.45     0.023590     0.154149
        3.46     0.025132     0.158897
        3.47     0.026721     0.163630
        3.48     0.028357     0.168347
        3.49     0.030041     0.173046
        3.50     0.031771     0.177728
        3.51     0.033548     0.182393
        3.52     0.035372     0.187039
        3.53     0.037243     0.191667
        3.54     0.039159     0.196275
        3.55     0.041122     0.200864
        3.56     0.043131     0.205432
        3.57     0.045185     0.209980
        3.58     0.047285     0.214507
        3.59     0.049430     0.219013
        3.60     0.051620     0.223497
        3.61     0.053855     0.227958
        3.62     0.056135     0.232397
        3.63     0.058459     0.236812
        3.64     0.060827     0.241204
        3.65     0.063239     0.245572
